Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,Age
Donal Montas,DET,2,4,,7.02639,65,0,0,0,,65,323,76,54,51,11,56,,3,32,4.4064,7.7868,0.565881,1.5624,0.09865,0.17433,-0.0756800323724746,0.290183,2.0387,0.295758,0.676019,0.403997,,7.20108,-2.08264,-2.03207,999.0,,,,,,,35.099999999999994,0.5399999999999999,69,1.0615384615384615,,,,,,,,,,,,,,,,,,,Donal Montas,sa3019394,802075,22.8
Rafael Mendez,,2,4,,7.02342,65,0,0,0,,65,326,74,54,51,11,62,,3,36,4.9599,8.6337,0.574481,1.4571,0.10989,0.191286,-0.0813958197832107,0.285943,2.1043,0.298697,0.681068,0.416998,,7.20108,-2.08264,-2.03207,999.0,,,,,,,30.299999999999983,0.4661538461538459,59,0.9076923076923076,,,,,,,,,,,,,,,,,,,Rafael Mendez,sa3015435,691917,22.5
Isaac Rudecindo,,2,4,,7.07382,65,0,0,0,,65,325,75,54,51,11,60,,3,37,5.0715,8.3484,0.607482,1.539,0.112745,0.185594,-0.0728491321206092,0.285512,2.0749,0.297299,0.678507,0.394005,,7.20128,-2.08278,-2.03207,999.0,,,,,,,35.69999999999999,0.5492307692307691,67,1.0307692307692309,,,,,,,,,,,,,,,,,,,Isaac Rudecindo,sa3011377,691358,24.0
Emilio Castillo,,2,4,,6.87852,65,0,0,0,,65,327,73,53,50,10,65,,3,37,5.1678,8.9748,0.575812,1.4121,0.114042,0.198054,-0.0840119197964668,0.281246,2.1185,0.29621,0.689948,0.396007,,7.20208,-2.08335,-1.93387,999.0,,,,,,,38.19999999999999,0.5876923076923075,65,1.0,,,,,,,,,,,,,,,,,,,Emilio Castillo,sa3016812,691488,22.3
Jank Pichardo,HOU,2,5,,7.14087,65,0,0,0,,65,323,77,54,52,11,56,,3,32,4.3731,7.6914,0.56857,1.5804,0.0979045,0.172194,-0.074289746582508,0.293603,2.0451,0.299089,0.67072,0.414999,,7.20208,-2.08335,-2.03207,999.0,,,,,,,32.5,0.5,69,1.0615384615384615,,,,,,,,,,,,,,,,,,,Jank Pichardo,sa3022231,807823,20.5
Jesus Clode,PIT,2,4,,7.05888,65,0,0,0,,65,324,75,54,51,11,59,,3,35,4.788,8.1495,0.587521,1.539,0.106656,0.181536,-0.0748797133564949,0.287696,2.0646,0.297093,0.67735,0.401004,,7.20278,-2.08384,-2.03207,999.0,,,,,,,34.69999999999999,0.5338461538461536,66,1.015384615384615,,,,,,,,,,,,,,,,,,,Jesus Clode,sa3015491,699018,23.5
Pedro Garcia,DET,7,16,,6.04809,32,32,0,0,,200,934,226,143,134,35,115,,11,111,4.9905,5.193,0.961005,1.5759,0.118686,0.123502,-0.0048159211874008,0.279042,1.705,0.287642,0.679723,0.378758,,6.22258,-2.08932,-1.96332,999.0,,,,,,,305.9,1.5295,389,1.945,,,,,,,,,,,,,,,,,,,Pedro Garcia,sa3018872,801221,23.0
Simon Pacheco,,2,4,,7.05726,65,0,0,0,,65,325,75,54,51,11,60,,4,35,4.8348,8.3385,0.579817,1.5021,0.107376,0.185189,-0.0778133124113082,0.287303,2.0814,0.297976,0.677963,0.408997,,7.21138,-2.08992,-2.03207,999.0,,,,,,,28.69999999999999,0.4415384615384614,60,0.9230769230769232,,,,,,,,,,,,,,,,,,,Simon Pacheco,sa3016222,692566,22.7
Ankeily Feliz,,2,5,,7.07706,65,0,0,0,,65,323,77,54,51,11,57,,3,32,4.4136,7.9389,0.555946,1.5417,0.0985729,0.177307,-0.0787336677312851,0.291472,2.0602,0.297852,0.675079,0.415,,7.21188,-2.09028,-2.03207,999.0,,,,,,,29.5,0.4538461538461538,66,1.015384615384615,,,,,,,,,,,,,,,,,,,Ankeily Feliz,sa3018803,702848,21.6
Stiven Rogers,ARI,2,5,,7.16229,65,0,0,0,,65,322,78,55,52,12,54,,4,31,4.2624,7.4574,0.571567,1.6182,0.0956188,0.167293,-0.0716737359762191,0.294596,2.0269,0.298313,0.668439,0.408994,,7.21288,-2.09098,-2.13005,999.0,,,,,,,18.59999999999999,0.2861538461538461,57,0.8769230769230769,,,,,,,,,,,,,,,,,,,Stiven Rogers,sa3024560,821098,18.1
Kevin Garcia,,2,4,,6.87879,65,0,0,0,,65,328,74,53,50,10,65,,4,35,4.8501,8.9343,0.542863,1.3716,0.106861,0.196847,-0.089986115694046,0.284473,2.1292,0.297869,0.688836,0.414012,,7.21358,-2.09148,-1.93387,999.0,,,,,,,28.59999999999999,0.4399999999999999,58,0.8923076923076924,,,,,,,,,,,,,,,,,,,Kevin Garcia,sa3006516,681617,25.2
Wanmer Ramirez,DET,2,4,,7.05681,65,0,0,0,,65,323,75,54,51,11,57,,4,34,4.7466,7.938,0.597959,1.5849,0.106053,0.177358,-0.071305051445961,0.287092,2.0401,0.294859,0.676197,0.390007,,7.21828,-2.0948,-2.03207,999.0,,,,,,,35.69999999999999,0.5492307692307691,67,1.0307692307692309,,,,,,,,,,,,,,,,,,,Wanmer Ramirez,sa3018904,805066,21.1
Jose Rojas,,2,4,,7.08759,65,0,0,0,,65,322,77,54,51,12,54,,3,31,4.2417,7.5105,0.564769,1.6182,0.0952121,0.168586,-0.0733737275004386,0.292724,2.0241,0.295886,0.673163,0.395002,,7.21958,-2.09572,-2.03207,999.0,,,,,,,24.200000000000017,0.3723076923076925,60,0.9230769230769232,,,,,,,,,,,,,,,,,,,Jose Rojas,sa3015486,698981,21.1
Luis Ramirez,MIA,2,4,,7.1163,65,0,0,0,,65,327,76,54,51,10,62,,4,34,4.6935,8.5815,0.546932,1.4211,0.103575,0.189374,-0.0857993960380554,0.290136,2.1206,0.301866,0.676006,0.426664,,7.21338,-2.09623,-1.8737,999.0,,,,,,,30.40000000000001,0.4676923076923078,65,1.0,,,,,,,,,,,,,,,,,,,Luis Ramirez,sa3018353,802092,23.0
Darlin Noboa,,2,4,,7.08255,65,0,0,0,,65,326,75,54,51,11,61,,3,35,4.8861,8.4429,0.578723,1.5048,0.108407,0.18732,-0.0789137408137321,0.287317,2.0928,0.298447,0.678639,0.406993,,7.22158,-2.09713,-2.03207,999.0,,,,,,,28.69999999999999,0.4415384615384614,60,0.9230769230769232,,,,,,,,,,,,,,,,,,,Darlin Noboa,sa3006821,680857,25.0
Jose Felipe Torres,,2,5,,7.13817,65,0,0,0,,65,321,77,54,52,12,54,,3,32,4.4757,7.5096,0.595997,1.6641,0.100566,0.168736,-0.0681698694825172,0.29144,2.0182,0.295559,0.671843,0.387006,,7.22488,-2.09883,-2.03144,999.0,,,,,,,26.200000000000017,0.4030769230769233,62,0.953846153846154,,,,,,,,,,,,,,,,,,,Jose Felipe Torres,sa3018849,800359,20.3
Wuilliams Rodriguez,SEA,2,4,,6.50313,65,0,0,0,,65,319,72,50,47,11,57,,3,38,5.265,7.9164,0.665075,1.4733,0.119169,0.179181,-0.0600122287869453,0.276425,1.9798,0.289812,0.693012,0.409644,,6.91128,-2.09934,-2.04336,999.0,,,,,,,54.5,0.8384615384615385,78,1.2,,,,,,,,,,,,,,,,,,,Wuilliams Rodriguez,sa3019672,805777,21.0
Leonardo Rossel,DET,2,5,,7.11018,65,0,0,0,,65,324,77,54,51,11,58,,4,32,4.4334,8.0163,0.553048,1.53,0.0987966,0.17864,-0.079843558371067,0.291975,2.0706,0.29892,0.67407,0.420008,,7.22598,-2.10024,-2.03207,999.0,,,,,,,23.5,0.3615384615384615,60,0.9230769230769232,,,,,,,,,,,,,,,,,,,Leonardo Rossel,sa3022317,814548,20.2
Brandison Polanco,PIT,2,4,,7.09065,65,0,0,0,,65,324,75,54,51,11,58,,3,34,4.7754,8.0307,0.594643,1.5867,0.106589,0.179249,-0.0726597011089325,0.287637,2.0528,0.29576,0.676475,0.388997,,7.22738,-2.10123,-2.03207,999.0,,,,,,,35.69999999999999,0.5492307692307691,67,1.0307692307692309,,,,,,,,,,,,,,,,,,,Brandison Polanco,sa3019279,801251,22.5
